Manager,Week,Pos,,% Start,Pass Yds,Pass TD,Int,Att*,Rush Yds,Rush TD,Tgt*,Rec,Rec Yds,Rec TD,Ret Yds,Ret TD,2PT,Fum Lost
,,Pos,Kickers,Field Goals Made,,,,,Field Goals Missed,,,PAT,,,,,,
,,Pos,Kickers,0-19,20-29,30-39,40-49,50+,0-19,20-29,30-39,Made,,,,,,
,,Pos,Defense/Special Teams,,Tackles,,Turnovers,,TD,Miscellaneous,,,,,,,,
,,Pos,Defense/Special Teams,Pts vs.,Sack,Safe,Int,Fum Rec,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,,,,,
,,Pos,Defensive Players,Return,,Tackles,,,,,Misc,,Turnovers,,,,TD,
,,Pos,Defensive Players,Yds,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,Ret Yds,TD,
Tyler,6,WR,DJ Chark Jr. Jax - WR,77%,0,0,0,0,0,0,7,3,43,0,0,0,0,0
Tyler,6,WR,Mecole Hardman KC - WR,18%,0,0,0,0,0,0,4,4,45,0,41,0,0,0
Tyler,6,RB,Austin Ekeler LAC - RB,79%,0,0,0,5,14,0,4,3,14,0,0,0,0,0
Tyler,6,RB,Kerryon Johnson Det - RB,86%,0,0,0,13,34,1,4,2,27,0,0,0,0,0
Tyler,6,TE,Mark Andrews Bal - TE,72%,0,0,0,0,0,0,8,6,99,0,0,0,0,1
Tyler,6,W/R/T,Marvin Jones Jr. Det - WR,25%,0,0,0,0,0,0,5,2,17,0,0,0,0,0
Tyler,6,BN,Davante Adams GB - WR,15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,6,BN,David Montgomery Chi - RB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,6,BN,Josh Allen Buf - QB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,6,BN,Josh Jacobs Oak - RB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,6,BN,Cam Newton Car - QB,5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,6,BN,Chase Edmonds Ari - RB,5%,0,0,0,5,34,0,2,2,33,1,0,0,0,0
Tyler,6,K,Joey Slye Car - K,0,1,0,2,0,0,0,0,4
Tyler,6,DEF,New England NE - DEF,8,1,0,3,1,2,1,1,213,4
Tyler,6,D,Jordan Hicks Ari - LB,0,0,4,5,0,0,0,0,0,0,0,0,0,0,
Tyler,6,D,Shaq Thompson Car - LB,0,0,4,1,0,0,0,0,0,0,0,0,0,0,
Tyler,6,D,Zach Cunningham Hou - LB,0,0,3,2,0,0,0,0,0,0,0,0,0,0,
Tyler,6,DB,Vonn Bell NO - S,0,0,1,2,0,0,0,0,0,0,0,0,0,0,
Tyler,6,DB,Jamal Adams NYJ - S,0,0,6,2,1,0,0,1,0,0,0,0,0,0,
Tyler,5,QB,Kyle Allen Car - QB,4%,181,1,0,1,4,0,0,0,0,0,0,0,0,0
Tyler,5,QB,Kirk Cousins Min - QB,14%,306,2,0,3,3,0,0,0,0,0,0,0,0,0
Tyler,5,WR,JuJu Smith-Schuster Pit - WR,79%,0,0,0,0,0,0,7,7,75,1,0,0,0,1
Tyler,5,WR,DJ Chark Jr. Jax - WR,30%,0,0,0,0,0,0,11,8,164,2,0,0,0,0
